10000, 1
Roy Lichtenstein, Bicentennial Print (1975).jpg
769, 1251780.5, 1609572.25
770, 1181879.0, 1707617.625
771, 1179860.5, 1594051.875
772, 1350311.5, 1514352.0
773, 1170545.875, 1644174.625
774, 1262876.375, 1651997.75
775, 1249549.625, 1605434.75
776, 1207269.625, 1611024.625
777, 1209860.75, 1567719.5
778, 1201489.75, 1600276.75
779, 1144365.125, 1778435.375
780, 1236711.375, 1925978.125
781, 1172842.0, 1757423.625
782, 1234590.875, 1691617.25
783, 1252476.25, 1667728.75
784, 1222828.625, 1686898.25
785, 1315492.875, 1661987.875
786, 1137713.375, 1735163.5
787, 1283860.625, 1536487.5
788, 1230151.375, 1587977.5
789, 1238305.375, 1743821.125
790, 1248631.25, 1889853.875
791, 1182120.125, 1623325.75
792, 1185900.875, 1619675.875
793, 1237398.125, 1595969.875
794, 1168915.875, 1671127.125
795, 1163387.75, 1749749.0
796, 1170836.25, 1641125.625
797, 1278995.375, 1559173.375
798, 1189947.25, 1639589.75
799, 1198457.375, 1648725.75
800, 1153181.625, 1591680.75
801, 1201584.125, 1635883.5
802, 1169621.375, 1577128.625
803, 1302730.125, 1581017.25
804, 1176679.75, 1779488.0
805, 1193974.125, 1607788.125
806, 1219868.125, 1602912.5
807, 1349803.375, 1572328.625
808, 1134885.625, 1676363.75
809, 1172966.875, 1759055.75
810, 1162611.5, 1679922.875
811, 1240196.25, 1597944.5
812, 1195388.875, 1667050.75
813, 1192734.25, 1568523.375
814, 1165459.125, 1735374.5
815, 1162378.25, 1536469.625
816, 1167610.75, 1570826.0
817, 1142345.25, 1699223.125
818, 1152321.5, 1699994.5
819, 1072465.25, 1675031.875
820, 1141114.875, 1639745.5
821, 1075102.5, 1654470.5
822, 1208746.0, 1532364.25
823, 1108065.25, 1589550.125
824, 1140487.25, 1560288.125
825, 1167191.125, 1777587.875
826, 1085485.875, 1625276.0
827, 1078763.625, 1713674.5
828, 1135771.5, 1622432.375
829, 1128482.375, 1722655.5
830, 1228192.0, 1604597.875
831, 1090217.0, 1610945.75
832, 1115772.0, 1681022.125
833, 1110199.625, 1734318.875
834, 1183393.75, 1575719.25
835, 1164387.75, 1672290.625
836, 1052841.625, 1691546.5
837, 1188648.375, 1603864.125
838, 1094675.625, 1669399.875
839, 1287206.25, 1595236.0
840, 1097985.5, 1743676.0
841, 1087819.375, 1777386.125
842, 1181644.375, 1646225.5
843, 1095625.5, 1661832.375
844, 1170547.25, 1656977.25
845, 1061523.75, 1646255.875
846, 1095688.625, 1760452.5
847, 1210134.5, 1531114.125
848, 1130170.625, 1528016.5
849, 1092848.0, 1694653.0
850, 1097969.375, 1525520.0
851, 1126363.25, 1608294.5
852, 1172705.75, 1528616.875
853, 1191819.375, 1656927.625
854, 1071244.875, 1620120.25
855, 1236080.875, 1578822.375
856, 1201539.375, 1687186.375
857, 1138513.125, 1641976.875
858, 1131324.375, 1827055.5
859, 1091696.875, 1719263.125
860, 1140947.375, 1694933.75
861, 1200071.5, 1722944.25
862, 1150932.625, 1631815.125
863, 1135135.125, 1518308.875
864, 1125496.75, 1541094.25
865, 1108578.875, 1819813.875
866, 1089552.75, 1661469.25
