10000, 1
Egon Schiele, Eith wiith Striped Dress, Sitting (1915).jpg
445, 294678.6875, 571717.5625
446, 261932.3125, 579069.0
447, 257705.8125, 602102.9375
448, 277179.875, 666938.9375
449, 257782.78125, 628948.3125
450, 238390.0, 589503.875
451, 260659.546875, 730104.4375
452, 269660.09375, 629841.875
453, 257463.265625, 630529.9375
454, 283034.8125, 669402.8125
455, 251447.453125, 639050.9375
456, 275708.84375, 569539.1875
457, 245699.046875, 650061.125
458, 280828.125, 772706.0
459, 264028.4375, 667672.125
460, 278497.53125, 606024.5625
461, 317066.125, 609610.75
462, 259897.390625, 559776.0
463, 265488.15625, 632962.625
464, 275741.03125, 615052.875
465, 290052.03125, 629134.875
466, 262060.3125, 503701.875
467, 260611.015625, 579386.75
468, 272466.4375, 605135.125
469, 235541.671875, 551903.4375
470, 241258.3125, 676512.9375
471, 256803.578125, 747795.625
472, 252491.34375, 767157.5625
473, 262340.8125, 616743.875
474, 290462.1875, 664067.875
475, 267158.125, 563353.3125
476, 262993.59375, 519790.1875
477, 236389.4375, 664378.625
478, 241432.0625, 632202.9375
479, 281687.40625, 589843.875
480, 270319.71875, 547215.25
481, 251206.875, 593844.4375
482, 243294.4375, 569088.625
483, 253279.4375, 660875.6875
484, 288842.9375, 595953.25
485, 247880.875, 617350.9375
486, 265008.46875, 684092.125
487, 281986.09375, 632808.375
488, 266146.15625, 706498.9375
489, 254605.96875, 607989.5
490, 236653.390625, 622127.0625
491, 234327.890625, 622393.875
492, 241970.25, 596423.625
493, 262126.171875, 555673.75
494, 258588.703125, 743252.4375
495, 240984.265625, 544341.5
496, 248984.0, 494969.09375
497, 225021.296875, 552928.0625
498, 290756.71875, 623785.875
499, 257461.25, 623039.5625
500, 240143.453125, 702591.0625
501, 223123.171875, 636722.6875
502, 237487.6875, 557895.1875
503, 237654.75, 657094.125
504, 248251.734375, 671588.0625
505, 229795.0, 625295.5
506, 236545.421875, 756777.3125
507, 268733.34375, 715270.9375
508, 255575.109375, 496753.6875
509, 221745.921875, 744426.375
510, 226390.84375, 787277.875
511, 234953.96875, 643389.5
512, 241401.625, 632105.25
513, 220272.84375, 564527.0625
514, 228615.1875, 632625.0
515, 228380.890625, 505418.40625
516, 250462.21875, 502091.40625
517, 268398.625, 701432.875
518, 247796.34375, 564810.1875
519, 209767.484375, 569983.25
520, 227553.8125, 557622.5
521, 235376.640625, 639965.625
522, 233310.203125, 726974.375
523, 243718.921875, 494404.96875
524, 265770.3125, 718511.5
525, 248252.546875, 523138.90625
526, 206370.859375, 572840.625
527, 255979.84375, 654609.5625
528, 278592.71875, 541384.125
529, 231772.625, 609502.125
530, 226383.25, 633051.375
531, 222142.609375, 641951.6875
532, 215939.46875, 557777.375
533, 264146.0625, 660161.5625
534, 228471.4375, 608711.4375
535, 235858.328125, 656917.875
536, 217564.125, 587903.5
537, 252696.40625, 689066.125
538, 242082.65625, 731307.25
539, 252781.75, 503328.8125
540, 253518.1875, 524293.3125
541, 228045.5625, 653516.5
542, 257449.09375, 544674.375
543, 242378.71875, 590026.0625
544, 259430.796875, 573208.0625
545, 218567.6875, 877330.5625
546, 237904.453125, 557745.4375
